Season,Episode,Title,Writer,Director,Date Aired,Summary,Rating/Share,US Viewership (in millions)
4,17,The One With The Free Porn,"Teleplay by Richard Goodman, Story by Mark J. Kunerth",Michael Lembeck,26-03-98,Chandler and Joey are glued to their TV after discovering an unscrambled adult cable channel. Monica helps Ross tell his girlfriend he loves her. Phoebe gets some surprising pregnancy news.,15.9/27,23.2
4,18,The One With Rachel's New Dress,"Teleplay by Jill Condon & Amy Toomin, Story by Andrew Reich & Ted Cohen",James Burrows,02-04-98,Rachel takes a provocative pose to get Joshua into a romantic mood - but her plans go awry. Chandler and Joey are at odds to persuade Phoebe to name one of her triplets after them.,14.9/24,21.7
4,19,The One With All The Haste,Wil Calhoun & Scott Silveri,Kevin S. Bright,09-04-98,"Drastic developments blight Ross's relationship with Emily. Monica and Rachel try to win back their old apartment, much to Chandler and Joey's delight.",15.4/27,21.8
4,20,The One With All The Wedding Dresses,"Teleplay by Michael Curtis & Gregory S. Malins, Story by Adam Chase",Gail Mancuso,16-04-98,"Distraught over Ross's engagement, Rachel takes Joshua aside and suggests they also get married. Chandler forces Joey to go to a sleep clinic to stop his loud snoring. Monica and Phoebe get obsessed to wedding dresses after trying on Emily's wedding dress.",15.3/26,21.9
4,21,The One With The Invitation,Seth Kurland,Peter Bonerz,23-04-98,Rachel and Ross each reminisce about when they used to date each other. Everyone is disappointed when Rachel decides not to attend the wedding in England.,15.3/27,21.5
4,22,The One With The Worst Best Man Ever,"Teleplay by Michael Curtis & Gregory S. Malins, Story by Seth Kurland",Peter Bonerz,30-04-98,"When Joey's duck swallows Ross' wedding ring, he is worried he'll have to sacrifice his beloved fowl to retrieve it.",16.0/27,23.2
4,23,"The One With Ross' Wedding, Part 1",Michael Borkow,Kevin S. Bright,07-05-98,"Ross tries to encourage Rachel to come to his wedding. Arriving in London, Joey and Chandler go sightseeing but Joey's overly enthusiastic behavior compels Chandler to go off on his own.",21.2/35,31.6
4,24,"The One With Ross' Wedding, Part 2","Teleplay by Shana Goldberg-Meehan & Scott Silveri, Story by Jill Condon & Amy Toomin",Kevin S. Bright,07-05-98,"Back in New York, Rachel realizes her feelings for Ross are stronger than ever and rushes off to the airport as wedding time nears. After a drunken guest mistakes Monica for Ross' mother, She and Chandler console each other and start their romantic journey.",21.2/35,31.6
5,1,The One After Ross Says Rachel,Seth Kurland,Kevin S. Bright,24-09-98,Ross's nuptials continue after his slip-of-the-tongue but wedded bliss doesn't follow. Monica and Chandler try continuing their affair but can't steal a moment alone.,20.0/33,31.1
5,2,The One With All The Kissing,Wil Calhoun,Gary Halvorson,01-10-98,"Ross's attempts at reconciling with Emily go unheeded. Chandler and Monica's affair is challenged by their ""Not-in-New York"" rule.",17.4/29,25.4
5,3,The One Hundredth,Marta Kauffman & David Crane,Kevin S. Bright,08-10-98,"Phoebe is rushed to the hospital, where triplets are born. Joey gets hospitalized next - when his sympathy labor pains turn out to be kidney stones. An unsuspecting Rachel arranges a date for Monica with a male nurse.",17.7/29,26.8
5,4,The One Where Phoebe Hates PBS,Michael Curtis,Shelley Jensen,15-10-98,"Phoebe resents Joey's PBS telethon gig because of a long-running grudge she holds against the network. To cover up her affair with Chandler, Monica tells Rachel she's dating someone from work.",15.7/27,24.1
5,5,The One With The Kips,Scott Silveri,Dana De Vally Piazza,29-10-98,Monica and Chandler go to Atlantic City for a weekend by themselves. Ross tries to tell Rachel they can't be friends once Emily arrives in New York.,17.0/27,25.9
5,6,The One With The Yeti,Alexa Junge,Gary Halvorson,05-11-98,"While rummaging in the storage room, Monica and Rachel meet a hairy neighbor they first mistake for a yeti. To smooth things over with Emily, Ross agrees to de-Rachelize his apartment.",16.8/26,25.0
5,7,The One Where Ross Moves In,Perry Rein & Gigi McCreery,Gary Halvorson,12-11-98,"With his marriage on the rocks, Ross moves in with Chandler and Joey. Rachel is convinced that her neighbor Danny is trying to seduce her with mind games.",16.1/26,24.4
5,8,The One With All The Thanksgivings,Gregory S. Malins,Kevin S. Bright,19-11-98,The gang reminisces about their worst Thanksgivings. Phoebe's takes her back to 1862. Elaborate tales are spun to try and uncover Monica's worst memory.,16.3/26,23.9
5,9,The One With Ross' Sandwich,Andrew Reich & Ted Cohen,Gary Halvorson,10-12-98,Ross is enraged when someone at work steals his Thanksgiving leftovers sandwich. Joey threatens to crack under the strain of knowing about Monica and Chandler's affair.,15.7/26,23.0
5,10,The One With The Inappropriate Sister,Shana Goldberg-Meehan,Dana De Vally Piazza,17-12-98,Monica maneuvers Rachel and Danny into dating but Rachel has second thoughts after observing Danny's unusually close relationship with his sister.,15.8/27,23.7
5,11,The One With All The Resolutions,"Teleplay by Suzie Villandry, Story by Brian Boyle",Joe Regalbuto,07-01-99,"As the new year approaches, everyone makes resolutions, some more realistic than others. Ross's resolution causes him to wear hot leather pants on a date...perhaps too hot.",17.6/27,27.0
5,12,The One With Chandler's Work Laugh,Alicia Sky Varinaitis,Kevin S. Bright,21-01-99,Monica uncovers the fake laugh Chandler reserves for his boss's bad jokes. Rachel is upset that Monica hasn't 'fessed up about her affair. Word comes of Emily's remarriage plans.,16.8/26,24.8
5,13,The One With Joey's Bag,"Teleplay by Seth Kurland, Story by Michael Curtis",Gail Mancuso,04-02-99,"When Rachel helps Joey change his image to help him land an acting gig, she includes a shoulder bag that's rather purselike. Phoebe is shocked when her dad attends her grandmother's funeral.",16.9/26,24.9
5,14,The One Where Everybody Finds Out,Alexa Junge,Michael Lembeck,11-02-99,"When Phoebe finds out about the Monica/Chandler affair, she tests Chandler via flirtation. Ugly Naked Guy's apartment goes up for rent and Ross wants it.",17.8/28,27.7
5,15,The One With The Girl Who Hits Joey,Adam Chase,Kevin S. Bright,18-02-99,"When Joey starts dating Katie, he finds she packs a painful punch. Ross has trouble making friends with his new neighbors.",19.0/29,29.3
5,16,The One With The Cop,"Teleplay by Gigi McCreery & Perry Rein, Story by Alicia Sky Varinaitis",Andrew Tsao,25-02-99,"Phoebe finds a police badge inside the Central Perk sofa. Rather than return it, she decides to embark on a ""good-deeds"" campaign. Joey is unnerved by his romantic dream about Monica.",17.6/28,26.0
5,17,The One With Rachel's Inadvertent Kiss,Andrew Reich & Ted Cohen,Shelley Jensen,18-03-99,"After a job interview, Rachel impulsively kisses her potential boss on the cheek. Joey tries to find a hot girl who lives in Ross' apartment but instead ending up in Ross' apartment. Phoebe and Gary vie for ""steamiest-affair"" with Monica and Chandler.",16.6/27,24.5
5,18,The One Where Rachel Smokes,Michael Curtis,Todd Holland,08-04-99,Rachel takes up smoking at her new job as a way of making inroads with the boss. Ross' son Ben joins Joey on an audition for a soup commerical.,14.8/26,21.9
5,19,The One Where Ross Can't Flirt,Doty Abrams,Gail Mancuso,22-04-99,Joey's Italian-speaking grandma joins the gang in watching his Law & Order debut. Ross decides to order lots and lots of pizza in order to flirt with the delivery girl.,14.4/25,20.9
5,20,The One With The Ride-Along,Shana Goldberg-Meehan & Seth Kurland,Gary Halvorson,29-04-99,"As Emily's wedding nears, the group does its best to distract Ross. A gunshot and a meatball sandwich take center stage when the guys go out on the beat with Phoebe's cop boyfriend.",13.9/24,19.6
5,21,The One With The Ball,"Teleplay by Greg Malins, Story by Scott Silveri",Gary Halvorson,06-05-99,"Phoebe asks Chandler to talk Gary out of asking her to move in with him. To fulfill a childhood dream, Rachel buys a sphinx cat which doesn't behave as planned.",14.3/25,20.9
5,22,The One With Joey's Big Break,"Teleplay by Wil Calhoun, Story by Shana Goldberg-Meehan",Gary Halvorson,13-05-99,"Joey is excited about landing a lead role in a movie shooting just outside Las Vegas - but furious with Chandler after he confesses his doubts that it will be his ""big break."" Rachel's right eye is itchy and Monica takes her to the doctor who tells her to take eye drops. But however, Rachel is terrified to take the eye-drops.",14.8/26,21.3
5,23,"The One In Vegas, Part 1",Andrew Reich & Ted Cohen,Kevin S. Bright,20-05-99,"After his film gig falls through, Joey begs Chandler not to visit. But when Monica decides to celebrate her one-year anniversary with Chandler in Vegas, no one wants to be left behind.",17.0/29,25.9
5,24,"The One In Vegas, Part 2",Greg Malins & Scott Silveri,Kevin S. Bright,20-05-99,"Joey tries to convince a blackjack dealter with identical hands to join him in a business venture. While playing craps with Monica, Chandler makes the bet of a lifetime.",17.0/29,25.9
6,1,The One After Vegas,Adam Chase,Kevin S. Bright,23-09-99,A hungover Ross and Rachel are shocked to discover they are husband and wife. Joey and Phoebe have a cross-country adventure.,17.8/30,27.7
6,2,The One Where Ross Hugs Rachel,Shana Goldberg-Meehan,Gail Mancuso,30-09-99,"When Monica and Chandler tell Rachel that they are moving in together, she mistakenly believes that all three will be roommates. Phoebe discovers that Ross hasn't annulled his marriage to Rachel.",15.8/27,22.9
6,3,The One With Ross' Denial,Seth Kurland,Gary Halvorson,07-10-99,Monica and Chandler argue about what to do with Rachel's room after she moves out. Ross suggests that Rachel move in with him.,14.9/25,21.6
6,4,The One Where Joey Loses His Insurance,Andrew Reich & Ted Cohen,Gary Halvorson,14-10-99,"Joey gets a hernia just as he learns his health insurance has lapsed. When a psychic predicts she'll die within a week, Phoebe plans to make the most of her final days.",13.8/23,21.1
6,5,The One With Joey's Porsche,Perry Rein & Gigi McCreery,Gary Halvorson,21-10-99,Joey finds keys to a Porsche and pretends the car is his to impress women. Rachel tries to have her marriage to Ross annulled on the basis of his mental instability.,15.0/25,22.4
6,6,The One On The Last Night,Scott Silveri,David Schwimmer,04-11-99,"While boxing up Rachel's belongings, the girls reminisce about their time spent as roommates. Joey's pride forces Chandler to invent a creative way to lend him money.",15.5/24,23.6
6,7,The One Where Phoebe Runs,Sherry Bilsing-Graham & Ellen Plummer,Gary Halvorson,11-11-99,"Phoebe's unorthodox, attention-getting jogging style embarrasses running mate Rachel. Chandler tries to surprise Monica by cleaning the apartment but forgets where everything goes therefore, seeking help from Ross. Joey's new roommate, a dancer from Australia, moves in with him.",15.1/24,22.7
6,8,The One With Ross' Teeth,"Teleplay by Perry Rein & Gigi McCreery, Story by Andrew Reich & Ted Cohen",Gary Halvorson,18-11-99,"Rumor has it that Rachel's boss Ralph Lauren made a romantic pass at Phoebe. Ross has a ""bright"" idea to impress his date.",14.8/24,22.1
6,9,The One Where Ross Got High,Greg Malins,Kevin S. Bright,25-11-99,Monica hosts Thanksgiving and Chandler uses the occasion to try and win her parents over. Rachel tests her confused culinary skills on dessert.,10.9/21,19.2
6,10,The One With The Routine,Brian Boyle,Kevin S. Bright,16-12-99,"Joey, Ross and Monica attend a taping of Dick Clark's New Year's Rockin' Eve. Joey has special plans for his roommate Janine at the midnight hour.",15.0/25,22.4
6,11,The One With The Apothecary Table,"Teleplay by Brian Boyle, Story by Zachary Rosenblatt",Kevin S. Bright,06-01-00,"After double-dating, Joey learns of Janine's dislike for Monica and Chandler. Rachel tries to convince Phoebe that her cute new apothecary table is a priceless antique.",14.9/23,22.3
6,12,The One With The Joke,"Teleplay by Andrew Reich & Ted Cohen, Story by Shana Goldberg-Meehan",Gary Halvorson,13-01-00,"When Ross gets a joke printed in Playboy, Chandler claims credit for it. Joey reluctantly takes a job as a waiter at Central Perk.",15.1/23,22.3
6,13,The One With Rachel's Sister,"Teleplay by Sherry Bilsing & Ellen Plummer, Story by Seth Kurland",Gary Halvorson,03-02-00,"When her sister Jill visits, Rachel worries about the sparks that seem to fly between her and Ross. Monica tries to seduce Chandler, despite having the flu.",15.6/24,24.1
6,14,The One Where Chandler Can't Cry,Andrew Reich & Ted Cohen,Kevin S. Bright,10-02-00,Rachel forces Ross to cancel his date with her sister. Phoebe discovers she's being mistaken for a porn star. Chandler admits he hasn't been able to cry since he was a child.,15.4/24,23.8
6,15,"The One That Could Have Been, Part 1",Greg Malins & Adam Chase,Michael Lembeck,17-02-00,The gang ponders what might have been if: Ross had stayed with his lesbian wife; a married Rachel had fallen for Days of Our Lives star Joey; a portly Monica had been obsessed with losing her virginity; Chandler had been a struggling writer; and Phoebe had been a stockbroker.,16.7/26,20.7
6,16,"The One That Could Have Been, Part 2",David Crane & Marta Kauffman,Michael Lembeck,17-02-00,The gang ponders what might have been if: Ross had stayed with his lesbian wife; a married Rachel had fallen for Days of Our Lives star Joey; a portly Monica had been obsessed with losing her virginity; Chandler had been a struggling writer; and Phoebe had been a stockbroker.,16.7/26,20.7
6,17,The One With Unagi,"Teleplay by Adam Chase, Story by Zachary Rosenblatt",Gary Halvorson,24-02-00,Ross tries to teach martial arts to Rachel and Phoebe. Joey hires a look-alike to pose as his twin brother for a medical experiment.,14.4/23,22.1
6,18,The One Where Ross Dates A Student,Seth Kurland,Gary Halvorson,09-03-00,"Ross flirts with danger when he dates an attractive student. After a fire damages their apartment, Rachel and Phoebe are forced to move in with their friends.",13.9/22,20.5
6,19,The One With Joey's Fridge,"Teleplay by Gigi McCreery & Perry Rein, Story by Seth Kurland",Ben Weiss,23-03-00,"When Rachel needs a date for a charity event, Monica and Phoebe compete to find her the best escort. Ross obsesses about his girlfriend spending spring break in Florida. Joey's refrigerator breaks.",14.3/24,21.5
6,20,The One With Mac And C.H.E.E.S.E.,Doty Abrams,Kevin S. Bright,13-04-00,"Joey gets an audition for the lead in a TV show, which sparks memorable and bizarre flashbacks for the gang.",12.8/22,18.8
6,21,The One Where Ross Meets Elizabeth's Dad,"Teleplay by Scott Silveri, Story by David J. Lagana",Michael Lembeck,27-04-00,"Ross dreads meeting his college girlfriend's disapproving father. When Joey insults his robot co-star, he jeopardizes his future on the show.",14.7/25,20.6
6,22,The One Where Paul's The Man,"Teleplay by Sherry Bilsing & Ellen Plummer, Story by Brian Caldirola",Gary Halvorson,04-05-00,"Despite Paul's threats, Ross and Elizabeth secretly head off to her family's mountain cabin. Paul and Rachel have exactly the same plan.",13.7/24,20.0
6,23,The One With The Ring,Andrew Reich & Ted Cohen,Gary Halvorson,11-05-00,Chandler asks Phoebe's help in choosing a ring for Monica. Rachel regrets pushing Paul to express his feelings.,14.4/25,20.9
6,24,"The One With The Proposal, Part 1",Shana Goldberg-Meehan & Scott Silveri,Kevin S. Bright,18-05-00,"The big evening has arrived, but Chandler's romantic plans are ruined when Monica's ex-boyfriend appears. Things sail way off course when Rachel, Phoebe and Joey attend a charity auction. Due to the friends thinking that Ross' relationship with Elizabeth is not going anywhere, he breaks up with her.",20.0/32,30.7
6,25,"The One With The Proposal, Part 2",Andrew Reich & Ted Cohen,Kevin S. Bright,18-05-00,"Rachel and Phoebe arrange ""backups"". Chandler tries to win Monica back after he fears he ruined things.",20.0/32,30.7
7,1,The One With Monica's Thunder,"Teleplay by David Crane & Marta Kauffman, Story by Wil Calhoun",Kevin S. Bright,05-10-00,"Minutes after Chandler proposes to Monica, she plans to celebrate on the town with he pals - until she catches Ross and Rachel kissing.",16.6/27,25.54
7,2,The One With Rachel's Book,Andrew Reich & Ted Cohen,Michael Lembeck,12-10-00,"Monica's dream of elaborate nuptials fizzles when she learns what her parents have done with her wedding fund. Rachel is embarrassed when a teasing Joey stumbles onto her juicy, late-night reading material.",18.0/28,27.93
7,3,The One With Phoebe's Cookies,Sherry Bilsing & Ellen Plummer,Gary Halvorson,19-10-00,Chandler's bonding attempt with his future father-in-law during a close sauna encounter backfires. Monica tries to replicate Phoebe's grandmother's secret cookie recipe by deconstructing her one last cookie.,15.2/25,22.70
7,4,The One With Rachel's Assistant,Brian Boyle,David Schwimmer,26-10-00,"When Rachel is promoted, she gleefully considers hiring an inexperienced hunk as her executive assistant. In a free-for-all tell-all game, Chandler and Monica expose humiliating secrets from each other's pasts.",14.7/24,22.66
7,5,The One With The Engagement Picture,"Teleplay by Patty Lin, Story by Earl Davis",Gary Halvorson,02-11-00,"Unphotogenic Chandler can't get a good photo taken with Monica. Rachel plans to get closer to her hunky assistant by encouraging him to hang out with Joey, but the plan sours when he picks up on Joey's moves.",15.2/24,24.43
7,6,The One With The Nap Partners,Brian Buckner & Sebastian Jones,Gary Halvorson,09-11-00,Monica frets when she meets one of Chandler's long-lost girlfriends and learns that he dumped her because she was fat. Phoebe and Rachel vie for the honor of becoming Monica's bridesmaid.,14.5/22,22.01
7,7,The One With Ross' Library Book,Scott Silveri,David Schwimmer,16-11-00,"When Joey decides to stop dating a girl that Rachel and Phoebe have come to adore, the ladies take action to change his mind. Ross fumes when he discovers the location of his dissertation in the university library.",15.7/25,23.73
7,8,The One Where Chandler Doesn't Like Dogs,Patty Lin,Kevin S. Bright,23-11-00,"A beaming Rachel is happily surprised when her assistant Tag shows up at the gang's Thanksgiving dinner. Phoebe sneaks a puppy into the apartment, forcing Chandler to confess why he hates dogs.",9.6/19,16.57
7,9,The One With All The Candy,Wil Calhoun,David Schwimmer,07-12-00,"Monica whips up some holiday candy for the neighbors. Rachel and Tag set the ground rules for their new romance. Moved by Phoebe's bikeless childhood story, Ross buys her a new two-wheeler.",13.6/22,21.08
7,10,The One With The Holiday Armadillo,Greg Malins,Gary Halvorson,14-12-00,"Ross wants to introduce son Ben to Hanukkah. In order to entice Rachel to move back into their refurbished apartment, Phoebe must drive a wedge between Rachel and current roomie Joey.",15.1/24,23.26
7,11,The One With All The Cheesecakes,Scott Silveri,Gary Halvorson,04-01-01,Phoebe's old flame David visits from Russia for an evening of romance. Rachel and Chandler swipe deliveries of a particularly tasty cheesecake from their neighbor's doorstep.,15.0/24,24.37
7,12,The One Where They're Up All Night,Zack Rosenblatt,Kevin S. Bright,11-01-01,Rachel and Tag's first night together is put on hold when they realize they forgot to overnight an important package. Ross and Joey are stuck on the roof and Phoebe can't disable a relentlessly beeping smoke alarm. Monica and Chandler cannot get to sleep.,14.8/23,22.86
7,13,The One Where Rosita Dies,"Teleplay by Brian Buckner & Sebastian Jones, Story by Sherry Bilsing & Ellen Plummer",Stephen Prime,01-02-01,Phoebe has a bizarre first day in her new job when she encounters a distraught office manager in a suicidal mood. Rachel and Chandler both believe they have broken Joey's favorite chair.,14.2/22,22.24
7,14,The One Where They All Turn Thirty,"Teleplay by Sherry Bilsing & Ellen Plummer, Story by Vanessa McCarthy",Ben Weiss,08-02-01,Rachel's agony over her 30th birthday starts everyone reminiscing about what they did upon reaching that milestone.,13.9/21,22.40
7,15,The One With Joey's New Brain,"Teleplay by Andrew Reich & Ted Cohen, Story by Sherry Bilsing & Ellen Plummer",Kevin S. Bright,15-02-01,Joey accidentally lets slip to a Days of Our Lives castmate that she is being written out of the script. Rachel and Phoebe try to sabotage each other's chances to date a guy who left his cell phone at Central Perk.,14.0/22,21.75
7,16,The One With The Truth About London,"Teleplay by Zachary Rosenblatt, Story by Brian Buckner & Sebastian Jones",David Schwimmer,22-02-01,"Monica and Chandler grudgingly agree to let Joey marry them - once he's been ""ordained"" via the Internet. While babysitting, Rachel teaches Ben a few practical jokes.",13.7/21,21.22
7,17,The One With The Cheap Wedding Dress,"Teleplay by Andrew Reich & Ted Cohen, Story by Brian Buckner & Sebastian Jones",Kevin S. Bright,15-03-01,Monica regrets telling a fellow bride-to-be about a cheaper bridal store when she has to fight her tooth-and-nail for a unique wedding dress - and later the right to hire Chandler's favorite band for the event!,13.9/23,20.84
